	0
ID=gene-TraAM80_00002	1
ID=gene-TraAM80_00006	1
ID=gene-TraAM80_00012	1
ID=gene-TraAM80_00022	1
ID=gene-TraAM80_00027	1
ID=gene-TraAM80_00036	1
ID=gene-TraAM80_00038	1
ID=gene-TraAM80_00066	1
ID=gene-TraAM80_00068	1
ID=gene-TraAM80_00074	1
ID=gene-TraAM80_00096	1
ID=gene-TraAM80_00102	1
ID=gene-TraAM80_00105	1
ID=gene-TraAM80_00128	1
ID=gene-TraAM80_00132	1
ID=gene-TraAM80_00135	1
ID=gene-TraAM80_00077	1
ID=gene-TraAM80_00097	1
ID=gene-TraAM80_00123	1
ID=gene-TraAM80_00133	1
ID=gene-TraAM80_00199	1
ID=gene-TraAM80_00201	1
ID=gene-TraAM80_00206	1
ID=gene-TraAM80_00226	1
ID=gene-TraAM80_00177	1
ID=gene-TraAM80_00189	1
ID=gene-TraAM80_00192	1
ID=gene-TraAM80_00233	1
ID=gene-TraAM80_00246	1
ID=gene-TraAM80_00251	1
ID=gene-TraAM80_00255	1
ID=gene-TraAM80_00242	1
ID=gene-TraAM80_00250	1
ID=gene-TraAM80_00259	1
ID=gene-TraAM80_00262	1
ID=gene-TraAM80_00302	1
ID=gene-TraAM80_00320	1
ID=gene-TraAM80_00323	1
ID=gene-TraAM80_00334	1
ID=gene-TraAM80_00343	1
ID=gene-TraAM80_00277	1
ID=gene-TraAM80_00282	1
ID=gene-TraAM80_00297	1
ID=gene-TraAM80_00310	1
ID=gene-TraAM80_00317	1
ID=gene-TraAM80_00330	1
ID=gene-TraAM80_00356	1
ID=gene-TraAM80_00365	1
ID=gene-TraAM80_00369	1
ID=gene-TraAM80_00376	1
ID=gene-TraAM80_00390	1
ID=gene-TraAM80_00347	1
ID=gene-TraAM80_00359	1
ID=gene-TraAM80_00358	1
ID=gene-TraAM80_00363	1
ID=gene-TraAM80_00368	1
ID=gene-TraAM80_00375	1
ID=gene-TraAM80_00378	1
ID=gene-TraAM80_00383	1
ID=gene-TraAM80_00384	1
ID=gene-TraAM80_00387	1
ID=gene-TraAM80_00393	1
ID=gene-TraAM80_00449	1
ID=gene-TraAM80_00447	1
ID=gene-TraAM80_00446	1
ID=gene-TraAM80_00450	1
ID=gene-TraAM80_00474	1
ID=gene-TraAM80_00483	1
ID=gene-TraAM80_00484	1
ID=gene-TraAM80_00491	1
ID=gene-TraAM80_00492	1
ID=gene-TraAM80_00507	1
ID=gene-TraAM80_00508	1
ID=gene-TraAM80_00515	1
ID=gene-TraAM80_00523	1
ID=gene-TraAM80_00544	1
ID=gene-TraAM80_00520	1
ID=gene-TraAM80_00555	1
ID=gene-TraAM80_00559	1
ID=gene-TraAM80_00584	1
ID=gene-TraAM80_00594	1
ID=gene-TraAM80_00608	1
ID=gene-TraAM80_00639	1
ID=gene-TraAM80_00603	1
ID=gene-TraAM80_00605	1
ID=gene-TraAM80_00607	1
ID=gene-TraAM80_00612	1
ID=gene-TraAM80_00628	1
ID=gene-TraAM80_00644	1
ID=gene-TraAM80_00706	1
ID=gene-TraAM80_00712	1
ID=gene-TraAM80_00682	1
ID=gene-TraAM80_00692	1
ID=gene-TraAM80_00701	1
ID=gene-TraAM80_00726	1
ID=gene-TraAM80_00727	1
ID=gene-TraAM80_00735	1
ID=gene-TraAM80_00748	1
ID=gene-TraAM80_00716	1
ID=gene-TraAM80_00717	1
ID=gene-TraAM80_00723	1
ID=gene-TraAM80_00725	1
ID=gene-TraAM80_00732	1
ID=gene-TraAM80_00736	1
ID=gene-TraAM80_00740	1
ID=gene-TraAM80_00742	1
ID=gene-TraAM80_00750	1
