	0
ID=gene-TraAM80_00001	1
ID=gene-TraAM80_00002	1
ID=gene-TraAM80_00003	1
ID=gene-TraAM80_00004	1
ID=gene-TraAM80_00005	1
ID=gene-TraAM80_00006	1
ID=gene-TraAM80_00009	1
ID=gene-TraAM80_00010	1
ID=gene-TraAM80_00011	1
ID=gene-TraAM80_00012	1
ID=gene-TraAM80_00014	1
ID=gene-TraAM80_00015	1
ID=gene-TraAM80_00016	1
ID=gene-TraAM80_00017	1
ID=gene-TraAM80_00019	1
ID=gene-TraAM80_00022	1
ID=gene-TraAM80_00023	1
ID=gene-TraAM80_00024	1
ID=gene-TraAM80_00026	1
ID=gene-TraAM80_00028	1
ID=gene-TraAM80_00029	1
ID=gene-TraAM80_00031	1
ID=gene-TraAM80_00032	1
ID=gene-TraAM80_00033	1
ID=gene-TraAM80_00034	1
ID=gene-TraAM80_00035	1
ID=gene-TraAM80_00036	1
ID=gene-TraAM80_00037	1
ID=gene-TraAM80_00038	1
ID=gene-TraAM80_00039	1
ID=gene-TraAM80_00040	1
ID=gene-TraAM80_00041	1
ID=gene-TraAM80_00043	1
ID=gene-TraAM80_00044	1
ID=gene-TraAM80_00046	1
ID=gene-TraAM80_00047	1
ID=gene-TraAM80_00048	1
ID=gene-TraAM80_00049	1
ID=gene-TraAM80_00050	1
ID=gene-TraAM80_00051	1
ID=gene-TraAM80_00052	1
ID=gene-TraAM80_00053	1
ID=gene-TraAM80_00054	1
ID=gene-TraAM80_00055	1
ID=gene-TraAM80_00056	1
ID=gene-TraAM80_00059	1
ID=gene-TraAM80_00062	1
ID=gene-TraAM80_00063	1
ID=gene-TraAM80_00064	1
ID=gene-TraAM80_00065	1
ID=gene-TraAM80_00067	1
ID=gene-TraAM80_00068	1
ID=gene-TraAM80_00069	1
ID=gene-TraAM80_00070	1
ID=gene-TraAM80_00072	1
ID=gene-TraAM80_00073	1
ID=gene-TraAM80_00075	1
ID=gene-TraAM80_00077	1
ID=gene-TraAM80_00080	1
ID=gene-TraAM80_00081	1
ID=gene-TraAM80_00082	1
ID=gene-TraAM80_00088	1
ID=gene-TraAM80_00089	1
ID=gene-TraAM80_00090	1
ID=gene-TraAM80_00091	1
ID=gene-TraAM80_00093	1
ID=gene-TraAM80_00094	1
ID=gene-TraAM80_00096	1
ID=gene-TraAM80_00097	1
ID=gene-TraAM80_00100	1
ID=gene-TraAM80_00103	1
ID=gene-TraAM80_00105	1
ID=gene-TraAM80_00106	1
ID=gene-TraAM80_00107	1
ID=gene-TraAM80_00112	1
ID=gene-TraAM80_00113	1
ID=gene-TraAM80_00114	1
ID=gene-TraAM80_00115	1
ID=gene-TraAM80_00117	1
ID=gene-TraAM80_00118	1
ID=gene-TraAM80_00119	1
ID=gene-TraAM80_00123	1
ID=gene-TraAM80_00124	1
ID=gene-TraAM80_00126	1
ID=gene-TraAM80_00127	1
ID=gene-TraAM80_00128	1
ID=gene-TraAM80_00131	1
ID=gene-TraAM80_00132	1
ID=gene-TraAM80_00133	1
ID=gene-TraAM80_00134	1
ID=gene-TraAM80_00135	1
ID=gene-TraAM80_00136	1
ID=gene-TraAM80_00137	1
ID=gene-TraAM80_00139	1
ID=gene-TraAM80_00140	1
ID=gene-TraAM80_00141	1
ID=gene-TraAM80_00142	1
ID=gene-TraAM80_00143	1
ID=gene-TraAM80_00144	1
ID=gene-TraAM80_00145	1
ID=gene-TraAM80_00146	1
ID=gene-TraAM80_00147	1
ID=gene-TraAM80_00148	1
ID=gene-TraAM80_00149	1
ID=gene-TraAM80_00150	1
ID=gene-TraAM80_00151	1
ID=gene-TraAM80_00152	1
ID=gene-TraAM80_00157	1
ID=gene-TraAM80_00159	1
ID=gene-TraAM80_00160	1
ID=gene-TraAM80_00161	1
ID=gene-TraAM80_00163	1
ID=gene-TraAM80_00164	1
ID=gene-TraAM80_00165	1
ID=gene-TraAM80_00166	1
ID=gene-TraAM80_00167	1
ID=gene-TraAM80_00173	1
ID=gene-TraAM80_00174	1
ID=gene-TraAM80_00175	1
ID=gene-TraAM80_00176	1
ID=gene-TraAM80_00177	1
ID=gene-TraAM80_00184	1
ID=gene-TraAM80_00183	1
ID=gene-TraAM80_00188	1
ID=gene-TraAM80_00190	1
ID=gene-TraAM80_00191	1
ID=gene-TraAM80_00194	1
ID=gene-TraAM80_00195	1
ID=gene-TraAM80_00197	1
ID=gene-TraAM80_00198	1
ID=gene-TraAM80_00199	1
