chrom	start	end
NW_021705745.1	290	306
NW_021705745.1	379	395
NW_021705745.1	800	816
NW_021705745.1	1216	1240
NW_021705745.1	1540	1556
NW_021705745.1	1949	1965
NW_021705745.1	2417	2433
NW_021705745.1	2597	2615
NW_021705745.1	2682	2700
NW_021705745.1	2876	2892
NW_021705745.1	3440	3456
NW_021705745.1	4065	4081
NW_021705745.1	4117	4133
NW_021705745.1	4248	4264
NW_021705745.1	4690	4706
NW_021705745.1	6020	6036
NW_021705745.1	6910	6926
NW_021705745.1	7255	7271
NW_021705745.1	7320	7336
NW_021705745.1	7399	7415
NW_021705745.1	8378	8394
NW_021705745.1	9033	9049
NW_021705745.1	9792	9808
NW_021705745.1	9895	9911
NW_021705745.1	10041	10057
NW_021705745.1	10095	10111
NW_021705745.1	10509	10527
NW_021705745.1	10694	10710
NW_021705745.1	13089	13105
NW_021705745.1	14903	14919
NW_021705745.1	15110	15126
NW_021705745.1	15260	15276
NW_021705745.1	15382	15398
NW_021705745.1	15909	15929
NW_021705745.1	19922	19938
NW_021705745.1	20572	20588
NW_021705745.1	20627	20643
NW_021705745.1	21839	21855
NW_021705745.1	22126	22142
NW_021705745.1	22813	22829
NW_021705745.1	23383	23399
NW_021705745.1	23739	23755
NW_021705745.1	24094	24110
NW_021705745.1	26592	26608
NW_021705745.1	26871	26889
NW_021705745.1	28661	28677
NW_021705745.1	30054	30070
NW_021705745.1	30265	30287
NW_021705745.1	30598	30614
NW_021705745.1	31110	31126
NW_021705745.1	31812	31828
NW_021705745.1	31841	31857
NW_021705745.1	32566	32582
NW_021705745.1	34962	34978
NW_021705745.1	35025	35043
NW_021705745.1	35088	35110
NW_021705745.1	35422	35438
NW_021705745.1	35664	35680
NW_021705745.1	36010	36026
NW_021705745.1	36458	36474
NW_021705745.1	37523	37539
NW_021705745.1	37617	37633
NW_021705745.1	39251	39267
NW_021705745.1	39762	39782
NW_021705745.1	41666	41682
NW_021705745.1	42988	43004
NW_021705745.1	43626	43644
NW_021705745.1	43839	43855
NW_021705745.1	43924	43940
NW_021705745.1	46542	46558
NW_021705745.1	46962	46978
NW_021705745.1	49891	49907
NW_021705745.1	50107	50123
NW_021705745.1	52321	52337
NW_021705745.1	52639	52659
NW_021705745.1	52691	52707
NW_021705745.1	53140	53156
NW_021705745.1	55038	55054
NW_021705745.1	55222	55238
NW_021705745.1	56233	56253
NW_021705745.1	57234	57254
NW_021705745.1	57497	57513
NW_021705745.1	58869	58887
NW_021705745.1	60842	60858
NW_021705745.1	61581	61597
NW_021705745.1	62122	62138
NW_021705745.1	62177	62193
NW_021705745.1	62308	62332
NW_021705745.1	65854	65870
NW_021705745.1	66914	66930
NW_021705745.1	67147	67165
NW_021705745.1	67550	67566
NW_021705745.1	68151	68167
NW_021705745.1	69286	69302
NW_021705745.1	69327	69349
NW_021705745.1	70872	70888
NW_021705745.1	70906	70922
NW_021705745.1	70985	71003
NW_021705745.1	71871	71887
NW_021705745.1	72771	72787
NW_021705745.1	72802	72818
NW_021705745.1	73569	73589
NW_021705745.1	74162	74178
NW_021705745.1	74672	74688
NW_021705745.1	75869	75885
NW_021705745.1	76195	76211
NW_021705745.1	76665	76685
NW_021705745.1	77080	77096
NW_021705745.1	78915	78931
NW_021705745.1	79068	79084
NW_021705745.1	79489	79505
NW_021705745.1	80495	80511
NW_021705745.1	81271	81287
NW_021705745.1	82111	82135
NW_021705745.1	82643	82667
NW_021705745.1	82923	82939
NW_021705745.1	83318	83334
NW_021705745.1	83449	83465
NW_021705745.1	84986	85002
NW_021705745.1	85826	85842
NW_021705745.1	86084	86100
NW_021705745.1	86137	86153
NW_021705745.1	87961	87977
NW_021705745.1	88786	88806
NW_021705745.1	89038	89062
NW_021705745.1	89618	89634
NW_021705745.1	90337	90353
NW_021705745.1	90418	90434
NW_021705745.1	90822	90838
NW_021705745.1	91655	91671
NW_021705745.1	92439	92457
NW_021705745.1	92641	92657
NW_021705745.1	92881	92897
NW_021705745.1	94530	94546
NW_021705745.1	95878	95894
NW_021705745.1	96901	96917
NW_021705745.1	97426	97442
NW_021705745.1	97793	97809
NW_021705745.1	99568	99584
NW_021705745.1	100134	100150
NW_021705745.1	100379	100395
NW_021705745.1	100502	100518
NW_021705745.1	101278	101294
NW_021705745.1	101438	101454
NW_021705745.1	102078	102094
NW_021705745.1	103261	103279
NW_021705745.1	103515	103537
NW_021705745.1	105335	105351
NW_021705745.1	106593	106609
NW_021705745.1	106730	106750
NW_021705745.1	106983	106999
NW_021705745.1	108138	108154
NW_021705745.1	108777	108793
NW_021705745.1	109433	109449
NW_021705745.1	109603	109619
NW_021705745.1	113401	113417
NW_021705745.1	113553	113571
NW_021705745.1	113980	113998
NW_021705745.1	114274	114290
NW_021705745.1	114347	114363
NW_021705745.1	114485	114501
NW_021705745.1	114879	114897
NW_021705745.1	115099	115123
NW_021705745.1	115457	115473
NW_021705745.1	116080	116096
NW_021705745.1	116189	116205
NW_021705745.1	116250	116266
NW_021705745.1	117987	118003
NW_021705745.1	119138	119154
NW_021705745.1	119300	119316
NW_021705745.1	119639	119655
NW_021705745.1	120281	120297
NW_021705745.1	121513	121529
NW_021705745.1	121623	121639
NW_021705745.1	123415	123431
NW_021705745.1	123511	123527
NW_021705745.1	124867	124883
NW_021705745.1	125225	125241
NW_021705745.1	125460	125476
NW_021705745.1	127495	127511
NW_021705745.1	127767	127783
NW_021705745.1	128020	128036
NW_021705745.1	131974	131990
NW_021705745.1	132089	132105
NW_021705745.1	133467	133483
NW_021705745.1	134970	134986
NW_021705745.1	135241	135263
NW_021705745.1	136239	136255
NW_021705745.1	136343	136359
NW_021705745.1	136576	136592
NW_021705745.1	137205	137221
NW_021705745.1	137423	137439
NW_021705745.1	137506	137522
NW_021705745.1	137926	137948
NW_021705745.1	138234	138250
NW_021705745.1	139316	139332
NW_021705745.1	139719	139735
NW_021705745.1	142375	142393
NW_021705745.1	142605	142625
NW_021705745.1	142971	142987
NW_021705745.1	144691	144707
NW_021705745.1	144725	144741
NW_021705745.1	145017	145035
NW_021705745.1	145176	145192
NW_021705745.1	145495	145511
NW_021705745.1	146671	146687
NW_021705745.1	146851	146869
NW_021705745.1	146917	146933
NW_021705745.1	147558	147574
NW_021705745.1	147827	147843
NW_021705745.1	147918	147934
NW_021705745.1	147992	148008
NW_021705745.1	148104	148120
NW_021705745.1	148234	148250
NW_021705745.1	148659	148677
NW_021705745.1	148779	148795
NW_021705745.1	148853	148869
NW_021705745.1	148965	148981
NW_021705745.1	149115	149131
NW_021705745.1	149211	149227
NW_021705745.1	149331	149347
NW_021705745.1	149649	149665
NW_021705745.1	149751	149769
NW_021705745.1	149797	149813
NW_021705745.1	150081	150097
NW_021705745.1	150283	150301
NW_021705745.1	150329	150345
NW_021705745.1	150613	150629
NW_021705745.1	153668	153684
NW_021705746.1	14	30
NW_021705746.1	153	169
NW_021705746.1	217	233
NW_021705746.1	296	312
NW_021705746.1	314	330
NW_021705746.1	332	348
NW_021705746.1	511	529
NW_021705746.1	6621	6637
NW_021705746.1	7295	7311
NW_021705746.1	8427	8443
NW_021705746.1	8889	8905
NW_021705746.1	9090	9106
NW_021705746.1	10025	10041
NW_021705746.1	10868	10884
NW_021705746.1	11070	11086
NW_021705746.1	11878	11894
NW_021705746.1	13041	13057
NW_021705746.1	14267	14285
NW_021705746.1	14522	14538
NW_021705746.1	16073	16089
NW_021705746.1	16877	16893
NW_021705746.1	17991	18007
NW_021705746.1	18120	18136
NW_021705746.1	21864	21880
NW_021705746.1	22014	22030
NW_021705746.1	25104	25120
NW_021705746.1	25817	25833
NW_021705746.1	26386	26402
NW_021705746.1	26494	26510
NW_021705746.1	26581	26597
NW_021705746.1	27627	27645
NW_021705746.1	28865	28881
NW_021705746.1	28886	28902
NW_021705746.1	29630	29654
NW_021705746.1	29965	29985
NW_021705746.1	30409	30425
NW_021705746.1	32509	32525
NW_021705746.1	32526	32544
NW_021705746.1	32949	32965
NW_021705746.1	33116	33132
NW_021705746.1	33136	33152
NW_021705746.1	33490	33506
NW_021705746.1	33790	33806
NW_021705746.1	34040	34056
NW_021705746.1	36521	36537
NW_021705746.1	37736	37752
NW_021705746.1	37775	37791
NW_021705746.1	38089	38105
NW_021705746.1	39166	39190
NW_021705746.1	39350	39368
NW_021705746.1	40752	40774
NW_021705746.1	40923	40939
NW_021705746.1	41641	41657
NW_021705746.1	41947	41963
NW_021705746.1	41976	41992
NW_021705746.1	43726	43742
NW_021705746.1	44192	44208
NW_021705746.1	44420	44436
NW_021705746.1	45560	45576
NW_021705746.1	48867	48883
NW_021705746.1	49482	49500
NW_021705746.1	49513	49529
NW_021705746.1	49882	49898
NW_021705746.1	50671	50687
NW_021705746.1	52748	52764
NW_021705746.1	53949	53965
NW_021705746.1	54151	54167
NW_021705746.1	54438	54456
NW_021705746.1	56452	56468
NW_021705746.1	56638	56654
NW_021705746.1	56789	56805
NW_021705746.1	58579	58595
NW_021705746.1	60269	60285
NW_021705746.1	60740	60756
NW_021705746.1	60877	60897
NW_021705746.1	62557	62573
NW_021705746.1	62692	62708
NW_021705746.1	63077	63093
NW_021705746.1	63535	63551
NW_021705746.1	64525	64541
NW_021705746.1	68450	68466
NW_021705746.1	68821	68837
NW_021705746.1	69631	69647
NW_021705746.1	69821	69837
NW_021705746.1	70342	70362
NW_021705746.1	70685	70701
NW_021705746.1	72221	72237
NW_021705746.1	72419	72443
NW_021705746.1	72546	72570
NW_021705746.1	72971	72987
NW_021705746.1	73434	73450
NW_021705746.1	74077	74093
NW_021705746.1	75345	75363
NW_021705746.1	75538	75554
NW_021705746.1	75945	75961
NW_021705746.1	76006	76024
NW_021705746.1	77074	77090
NW_021705746.1	79201	79217
NW_021705746.1	80988	81004
NW_021705746.1	81785	81807
NW_021705746.1	82403	82423
NW_021705746.1	83197	83213
NW_021705746.1	84872	84888
NW_021705746.1	85198	85214
NW_021705746.1	86052	86068
NW_021705746.1	86335	86351
NW_021705746.1	87427	87447
NW_021705746.1	87712	87730
NW_021705746.1	87876	87894
NW_021705746.1	88735	88751
NW_021705746.1	89016	89034
NW_021705746.1	91029	91045
NW_021705746.1	92317	92337
NW_021705746.1	92539	92555
NW_021705746.1	93379	93395
NW_021705746.1	94507	94523
NW_021705746.1	94739	94757
NW_021705746.1	95298	95318
NW_021705746.1	95384	95408
NW_021705746.1	95559	95575
NW_021705746.1	96345	96361
NW_021705746.1	97949	97967
NW_021705746.1	98144	98160
NW_021705746.1	98236	98252
NW_021705746.1	100589	100605
NW_021705746.1	101498	101520
NW_021705746.1	101619	101639
NW_021705746.1	102576	102592
NW_021705746.1	103410	103426
NW_021705746.1	103701	103717
NW_021705746.1	103718	103734
NW_021705746.1	105233	105249
NW_021705746.1	106390	106408
NW_021705746.1	106612	106628
NW_021705746.1	107717	107733
NW_021705746.1	109429	109453
NW_021705746.1	110629	110645
NW_021705746.1	110875	110891
NW_021705746.1	111306	111322
NW_021705746.1	113744	113760
NW_021705746.1	114440	114456
NW_021705746.1	114604	114620
NW_021705746.1	115818	115836
NW_021705746.1	116069	116085
NW_021705746.1	116969	116985
NW_021705746.1	119366	119386
NW_021705746.1	120038	120056
NW_021705746.1	120525	120543
NW_021705746.1	122330	122346
NW_021705746.1	122547	122571
NW_021705746.1	122784	122800
NW_021705746.1	122811	122827
NW_021705746.1	123327	123343
NW_021705746.1	124374	124392
NW_021705746.1	124780	124796
NW_021705746.1	125898	125914
NW_021705746.1	126364	126380
NW_021705746.1	126770	126786
NW_021705746.1	127183	127199
NW_021705746.1	127827	127843
NW_021705746.1	127981	127997
NW_021705746.1	128300	128316
NW_021705746.1	131345	131361
NW_021705746.1	131373	131389
NW_021705746.1	131392	131412
NW_021705746.1	131809	131825
NW_021705746.1	132676	132692
NW_021705746.1	132717	132733
NW_021705746.1	133345	133365
NW_021705746.1	134428	134444
NW_021705746.1	135882	135898
NW_021705746.1	136584	136600
NW_021705746.1	136712	136728
NW_021705746.1	137249	137265
NW_021705746.1	138455	138471
NW_021705746.1	139100	139116
NW_021705746.1	140264	140280
NW_021705746.1	141409	141425
NW_021705746.1	141673	141689
NW_021705746.1	142605	142621
NW_021705746.1	143441	143457
NW_021705746.1	143929	143945
NW_021705746.1	144936	144952
NW_021705746.1	145432	145448
NW_021705746.1	145784	145800
NW_021705746.1	146075	146091
NW_021705746.1	146170	146186
NW_021705746.1	146779	146795
NW_021705746.1	146964	146980
NW_021705746.1	147045	147061
NW_021705746.1	147457	147475
NW_021705746.1	148092	148112
NW_021705746.1	148319	148335
