family	gene	coordinates
14-3-3	TraAM80_01437	32878-33577
14-3-3	TraAM80_04194	26313-27102
14-3-3	TraAM80_00771	47267-50726
2-Hacid_dh_C	TraAM80_10006	3691-4321
2-Hacid_dh_C	TraAM80_02381	68606-69236
2-Hacid_dh_C	TraAM80_10003	2-815
2-Hacid_dh_C	TraAM80_10005	3123-3612
2-Hacid_dh_C	TraAM80_04203	38887-40201
2-Hacid_dh_C	TraAM80_08333	5432-6341
2-Hacid_dh_C	TraAM80_03599	21224-22748
2-Hacid_dh_C	TraAM80_09587	55-1399
2-Hacid_dh_C	TraAM80_08321	14102-15775
2-Hacid_dh_C	TraAM80_07095	13737-15177
2-Hacid_dh_C	TraAM80_03459	36548-38411
2-Hacid_dh_C	TraAM80_04606	1614-2613
2-Hacid_dh_C	TraAM80_08078	10437-10758
2-Hacid_dh_C	TraAM80_04608	5735-6527
2OG-FeII_Oxy_2	TraAM80_07541	16628-17852
2OG-FeII_Oxy_2	TraAM80_02170	53221-54541
2OG-FeII_Oxy_2	TraAM80_06059	12937-13342
2OG-FeII_Oxy_2	TraAM80_08830	861-1281
2OG-FeII_Oxy_2	TraAM80_09418	5024-5450
2OG-FeII_Oxy_2	TraAM80_06672	12728-13625
AAA	TraAM80_08653	8069-10412
AAA	TraAM80_09287	2227-4174
AAA	TraAM80_08741	3443-3830
AAA	TraAM80_05442	3261-5586
AAA	TraAM80_03315	40235-41099
AAA	TraAM80_02517	34997-36194
AAA	TraAM80_06410	19876-22093
AAA	TraAM80_03633	28506-29703
AAA	TraAM80_00014	35316-36531
AAA	TraAM80_07193	12688-14665
AAA	TraAM80_05757	36432-37323
AAA	TraAM80_04152	45116-46430
AAA	TraAM80_01920	41524-42559
AAA	TraAM80_08581	1619-5372
AAA	TraAM80_04698	37714-39778
AAA	TraAM80_02345	60480-62211
AAA	TraAM80_00791	2460-5016
AAA	TraAM80_04515	7110-8841
AAA	TraAM80_07297	2127-4260
AAA	TraAM80_05606	8302-9628
AAA	TraAM80_08440	10411-11770
AAA	TraAM80_02585	30139-32143
AAA	TraAM80_09420	6803-7817
AAA	TraAM80_03938	14541-17214
AAA	TraAM80_09289	6247-8908
AAA	TraAM80_03662	103-1441
AAA	TraAM80_09829	780-2649
AAA	TraAM80_00714	2069-4721
AAA	TraAM80_03122	19067-19700
AAA	TraAM80_00325	99128-100742
AAA	TraAM80_01394	27996-29313
AAA	TraAM80_02544	29116-31099
AAA	TraAM80_01286	67721-68507
AAA	TraAM80_08395	4602-7206
AAA	TraAM80_06306	516-3099
AAA	TraAM80_05518	13019-26840
AAA	TraAM80_09695	3408-4824
AAA	TraAM80_09185	3791-4859
AAA	TraAM80_02530	66512-68534
AAA	TraAM80_00441	107007-107802
AAA	TraAM80_03879	14960-15593
AAA	TraAM80_02913	9692-10619
AAA	TraAM80_04197	32202-33225
AAA	TraAM80_04794	23099-32627
AAA	TraAM80_05445	7781-9161
AAA	TraAM80_05682	29114-30572
AAA	TraAM80_08145	784-9802
AAA	TraAM80_00257	64583-67379
AAA	TraAM80_08834	6207-6567
AAA	TraAM80_04996	30547-33517
AAA	TraAM80_02191	16331-16778
AAA	TraAM80_01680	78650-81563
AAA	TraAM80_02060	7851-8901
AAA	TraAM80_02833	56920-58792
AAA	TraAM80_02472	60095-68420
AAA	TraAM80_00273	106971-120963
AAA	TraAM80_05101	13978-14980
AAA	TraAM80_05701	20751-21111
AAA	TraAM80_04166	30616-31930
AAA	TraAM80_01630	39848-53870
AAA	TraAM80_05180	6070-18718
AAA	TraAM80_02681	30452-44285
AAA	TraAM80_04294	39180-40197
AAA	TraAM80_05100	13314-13830
AAA	TraAM80_05072	38878-40666
AAA	TraAM80_00411	35898-36438
AAA	TraAM80_01734	26901-40815
AAA	TraAM80_00819	60099-66546
AAA	TraAM80_04372	9912-16605
AAA	TraAM80_04035	17027-20978
AAA	TraAM80_05276	35458-37381
AAA	TraAM80_08088	11887-13228
AAA	TraAM80_04965	19879-21052
AAA	TraAM80_02767	21064-33415
AAA	TraAM80_00431	85418-87860
AAA	TraAM80_02406	58099-59935
AAA	TraAM80_04836	38987-41006
AAA	TraAM80_01771	32938-34927
AAA	TraAM80_08190	12684-13305
AAA	TraAM80_01447	61808-63017
AAA	TraAM80_04793	17068-22924
AAA	TraAM80_08040	4947-5574
AAA	TraAM80_03687	51898-52648
AAA	TraAM80_07082	23749-25249
AAA	TraAM80_01131	66390-68535
AAA	TraAM80_06978	406-2578
AAA	TraAM80_00722	24896-26327
AAA	TraAM80_08868	3365-4610
AAA	TraAM80_01439	37692-40485
AAA	TraAM80_07785	12860-13496
AAA	TraAM80_08509	470-2525
AAA	TraAM80_02162	32932-34840
AAA	TraAM80_02080	40148-42737
AAA	TraAM80_01557	280-4552
AAA	TraAM80_01385	6441-10101
AAA	TraAM80_04894	34622-37139
AAA	TraAM80_06520	19909-20746
AAA	TraAM80_08184	15936-16602
AAA	TraAM80_08388	9378-11124
AAA	TraAM80_08022	5919-7107
